ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.47866659999999994,0.08128532311035952,0.02570467613714584,0.368333,0.586667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5035971223021583,0.5711666,0.05431986131589238,0.0171774483942691,0.465,0.638333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0071942446043165,0.5453333000000001,0.05979294954173111,0.018908190857139143,0.423333,0.615,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5107913669064748,0.5203331999999999,0.09005072219563567,0.02847653870812875,0.348333,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.014388489208633,0.4686667,0.0965126645564658,0.030519984305023635,0.375,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.5179856115107913,0.4683334,0.10035423247366186,0.0317347947454805,0.366667,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0215827338129495,0.42483329999999997,0.07506975595633998,0.023739141221502603,0.368333,0.6,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.5251798561151078,0.4333333,0.06780506827672332,0.02144184526576738,0.368333,0.568333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.028776978417266,0.4581665000000001,0.06606420885312177,0.0208913371792925,0.388333,0.565,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.532374100719425,0.4776667999999999,0.0907009293922737,0.028682152277369664,0.381667,0.621667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.0359712230215825,0.5203333,0.08202984642061015,0.025940115080293855,0.385,0.623333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.53956834532374,0.5263332000000001,0.0857206438973587,0.027107247721186632,0.393333,0.63,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.043165467625899,0.5753334000000001,0.07634301944105806,0.024141782488825817,0.466667,0.688333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.546762589928058,0.5598334,0.08222776497861158,0.02600270242374392,0.43,0.646667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.0503597122302155,0.6188333,0.08846784747648274,0.02797598977180649,0.501667,0.756667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.553956834532373,0.6521667000000001,0.10007732362423014,0.03164722847863441,0.48,0.78,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.057553956834532,0.6808333,0.10356081978780508,0.03274880668836994,0.46,0.783333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.56115107913669,0.7636667,0.0454253081150194,0.014364743705839124,0.67,0.816667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.06474820143885,0.7899999,0.028566573751112923,0.00903354380006968,0.743333,0.83,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.568345323741006,0.799,0.03176114172311114,0.010043754893243618,0.748333,0.848333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.071942446043165,0.8230000000000001,0.042945703590567576,0.01358062390646648,0.758333,0.886667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.575539568345324,0.8531666,0.020114532552913688,0.006360773693680859,0.823333,0.888333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.07913669064748,0.8610000000000001,0.019423757251823857,0.006142331363397613,0.84,0.893333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.58273381294964,0.8784998999999999,0.037560394659653065,0.011877639693932858,0.835,0.941667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.086330935251798,0.9038332999999998,0.037077367061771435,0.01172489295573027,0.835,0.951667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.589928057553957,0.9093333999999998,0.04540069450814845,0.014356960199924707,0.786667,0.938333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.093525179856115,0.9166668000000001,0.029938282195951856,0.009467316097207528,0.848333,0.946667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.597122302158272,0.9321666000000001,0.035832600510956165,0.011331263210153472,0.841667,0.958333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.100719424460431,0.9391665999999999,0.02053685034922995,0.006494322306959104,0.888333,0.965,10
