ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
0.8,0.1,0.5065387033533724,0.0020411540931523815,0.0040296113202004,0.004082308186304763,2.0,0.825
0.8,0.5,1.8742039366662613,0.0001086362436590263,5.7963939533849734e-05,0.0002172724873180526,2.0,0.823333
0.8,0.30000000000000004,0.5065387033533724,9.864755338380659e-05,0.00019474830399087572,0.00019729510676761317,2.0,0.823333
0.7000000000000001,0.2,0.7025280792430622,0.00018523212915195323,0.00026366508987303583,0.00037046425830390646,2.0,0.821667
0.7000000000000001,0.2,0.9743494403440246,0.00047089628731741,0.0004832930238571752,0.00094179257463482,2.0,0.82
0.7000000000000001,0.4,0.36522591135626786,5.253591713901835e-05,0.0001438449888287663,0.0001050718342780367,2.0,0.82
0.8,0.30000000000000004,1.3513436116626072,0.0011971104280047238,0.0008858667904100833,0.0023942208560094476,2.0,0.82
0.7000000000000001,0.30000000000000004,0.7025280792430622,5.513159146378552e-05,7.847599703514623e-05,0.00011026318292757104,2.0,0.818333
0.7000000000000001,0.2,1.8742039366662613,0.0012263270825259933,0.0006543189129712968,0.0024526541650519867,2.0,0.818333
0.8,0.30000000000000004,0.5065387033533724,5.381810774157376e-05,0.0001062467830894041,0.00010763621548314752,2.0,0.818333
0.8,0.1,1.3513436116626072,0.009981293944030427,0.007386199822079359,0.019962587888060854,2.0,0.818333
0.8,0.4,0.5065387033533724,5.381810774157376e-05,0.0001062467830894041,0.00010763621548314752,2.0,0.818333
0.8,0.2,0.9743494403440246,0.002142002647075389,0.002198392648862289,0.004284005294150778,2.0,0.818333
0.7000000000000001,0.6,0.5065387033533724,2.168660561872106e-05,4.281332398719396e-05,4.337321123744212e-05,2.0,0.818333
0.8,0.5,0.5065387033533724,2.9360978772729522e-05,5.7963939533849734e-05,5.8721957545459044e-05,2.0,0.818333
0.8,0.7000000000000001,0.5065387033533724,2.168660561872106e-05,4.281332398719396e-05,4.337321123744212e-05,2.0,0.818333
0.8,0.8,0.5065387033533724,2.168660561872106e-05,4.281332398719396e-05,4.337321123744212e-05,2.0,0.818333
0.8,0.6,0.5065387033533724,3.9751129782546065e-05,7.847599703514623e-05,7.950225956509213e-05,2.0,0.816667
0.7000000000000001,0.6,0.7025280792430622,4.072129510607645e-05,5.7963939533849734e-05,8.14425902121529e-05,2.0,0.816667
0.8,0.30000000000000004,0.9743494403440246,5.647713204494137e-05,5.7963939533849734e-05,0.00011295426408988274,2.0,0.816667
0.8,0.2,1.3513436116626072,0.00019438400672343244,0.0001438449888287663,0.0003887680134468649,2.0,0.816667
0.8,0.2,0.36522591135626786,0.00017651113509036334,0.0004832930238571753,0.0003530222701807267,2.0,0.816667
0.7000000000000001,0.5,0.36522591135626786,5.253591713901835e-05,0.0001438449888287663,0.0001050718342780367,2.0,0.816667
0.8,0.4,0.5065387033533724,2.9360978772729522e-05,5.7963939533849734e-05,5.8721957545459044e-05,2.0,0.816667
0.7000000000000001,0.5,0.36522591135626786,3.880407818249932e-05,0.00010624678308940411,7.760815636499865e-05,2.0,0.816667
0.8,0.7000000000000001,0.7025280792430622,4.072129510607645e-05,5.7963939533849734e-05,8.14425902121529e-05,2.0,0.816667
0.8,0.2,0.36522591135626786,0.00013037465145994686,0.00035696988468260664,0.0002607493029198937,2.0,0.816667
0.7000000000000001,0.30000000000000004,0.5065387033533724,7.286305412520362e-05,0.0001438449888287663,0.00014572610825040725,2.0,0.816667
