run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
597,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.985
532,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.983333
577,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.983333
584,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.983333
504,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.983333
594,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.983333
564,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.983333
554,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.983333
587,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.983333
567,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.981667
414,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.981667
542,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.981667
574,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.981667
444,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.981667
534,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.981667
474,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.981667
588,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.98
582,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.98
498,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.98
374,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,0.98
544,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.98
494,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.98
518,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.98
514,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.98
434,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.98
404,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.98
454,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.98
457,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.98
538,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.98
548,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.978333
484,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.978333
527,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.978333
467,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.978333
508,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.978333
458,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.978333
464,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.978333
507,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.978333
462,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.978333
417,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.978333
424,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.978333
512,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.976667
547,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.976667
517,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.976667
427,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.976667
524,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
558,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.976667
528,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
497,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.976667
557,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.976667
522,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
592,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.976667
447,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.976667
568,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.976667
468,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.976667
477,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.976667
572,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.975
590,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.975
561,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.975
448,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.975
551,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.975
552,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.975
431,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.975
502,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.975
407,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,0.975
578,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.975
491,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.975
471,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.975
