ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,tau_0,tau_w,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,3,30,0.6326666,0.05043758054202579,0.015949763418099148,0.571667,0.701667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,3,30,0.5978332,0.02694352300976579,0.008520290090001504,0.56,0.653333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,3,30,0.5888334,0.027532760285400602,0.008706623277329349,0.546667,0.636667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,3,30,0.5923332000000001,0.03346445064309957,0.010582388467848113,0.55,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,3,30,0.5963333000000001,0.03787400946134144,0.011976813402060586,0.556667,0.67,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,3,30,0.5891666000000001,0.03257711838153349,0.0103017893690584,0.556667,0.665,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,3,30,0.5828333000000001,0.03832973364852235,0.012120926043692646,0.503333,0.633333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,3,30,0.5755001999999999,0.030113339811821307,0.009522674175998159,0.536667,0.623333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,3,30,0.5606667000000001,0.051742390865281374,0.01636238067169797,0.441667,0.62,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,3,30,0.5531667,0.08053237605260248,0.025466573371142377,0.41,0.643333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,3,30,0.5938333,0.027599859770376472,0.00872784199756415,0.563333,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,3,30,0.5969999999999999,0.0280848537906901,0.008881210573139453,0.561667,0.658333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,3,30,0.5964999,0.029642419763462814,0.009373756181133211,0.55,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,3,30,0.5994998,0.03266969600511562,0.010331064984146926,0.555,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,3,30,0.6004999,0.030490368648513004,0.0096419011627491,0.555,0.655,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,3,30,0.6031666,0.03137256370071714,0.009920875733298723,0.56,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,3,30,0.6038333,0.03097244753378933,0.00979434789168392,0.558333,0.66,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.64406779661017,3,30,0.6041667000000002,0.03043151895303436,0.009623291255017118,0.56,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.152542372881356,3,30,0.6039999,0.02902956390168861,0.00917995414107403,0.56,0.646667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,9.661016949152541,3,30,0.6043334,0.02822085036202049,0.00892421646507721,0.56,0.648333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.169491525423728,3,30,0.6030001,0.030890049140099695,0.009768291231724072,0.56,0.65,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,10.677966101694915,3,30,0.611,0.03457144507955791,0.010932450845482401,0.575,0.68,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.1864406779661,3,30,0.6093335,0.03463390724340019,0.010952203116014822,0.561667,0.661667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,11.694915254237287,3,30,0.6256667,0.04013252367967905,0.012691018307842755,0.561667,0.681667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.203389830508474,3,30,0.6393333,0.05047450964166639,0.015961441424779507,0.583333,0.736667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,12.711864406779661,3,30,0.7118334,0.05623745050764664,0.017783843340515585,0.628333,0.781667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.220338983050848,3,30,0.7519998999999999,0.03705020051362747,0.011716302138900316,0.665,0.8,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,13.728813559322033,3,30,0.7776664,0.02567851289913628,0.008120258768728421,0.733333,0.813333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.23728813559322,3,30,0.7921666,0.022893326432730454,0.0072395054745165765,0.753333,0.823333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,14.745762711864407,3,30,0.8019999999999999,0.027742092635159598,0.008772819978648691,0.755,0.833333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.254237288135592,3,30,0.8318333000000001,0.034875946113968714,0.011028742527343946,0.773333,0.885,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,15.762711864406779,3,30,0.8520001,0.02655997499350394,0.00839900155765883,0.8,0.886667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.271186440677965,3,30,0.8598333,0.02126346458155657,0.0067240979024037915,0.833333,0.891667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,16.779661016949152,3,30,0.8653334000000001,0.019433481355639864,0.006145406395023865,0.833333,0.891667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.28813559322034,3,30,0.8714999999999999,0.02531844591948286,0.00800639559213619,0.83,0.906667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,17.796610169491526,3,30,0.8765000000000001,0.02378482502212982,0.007521422081849501,0.84,0.921667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.305084745762713,3,30,0.8898333,0.021364747995237406,0.0067561265300466414,0.858333,0.931667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,18.813559322033896,3,30,0.9049999999999999,0.03282936242315885,0.010381555938832648,0.866667,0.948333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.322033898305083,3,30,0.9221667,0.02565262891899301,0.008112073535512092,0.868333,0.948333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,3,30,0.9363334999999999,0.01908064755627193,0.0060338305508745105,0.901667,0.968333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.338983050847457,3,30,0.9443334999999999,0.016371410644779497,0.0051770946147429,0.906667,0.966667,10
