ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.6161666999999998,0.04152236687229873,0.013130525315758585,0.571667,0.696667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.5955000000000001,0.024508101458724008,0.007750142173606299,0.566667,0.635,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.5778333,0.025616501483093593,0.008100649037165703,0.53,0.621667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.5803333,0.02613815668094779,0.008265610895014206,0.526667,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.0338983050847457,0.5819998999999999,0.025359342400560966,0.00801932819498547,0.548333,0.63,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,2.542372881355932,0.5865001,0.030352231191828748,0.009598218263418591,0.551667,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.0508474576271185,0.5754999,0.025495736512645067,0.008062459800347675,0.538333,0.618333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,3.559322033898305,0.5553334,0.08436314331929022,0.02667796834601747,0.331667,0.645,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.067796610169491,0.5538333,0.09774938748208212,0.03091107043297309,0.38,0.663333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,4.576271186440678,0.5298331999999999,0.11289532768188416,0.03570063726658111,0.333333,0.628333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.084745762711864,0.5068334,0.1020059734396853,0.032257121101204586,0.328333,0.605,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,5.59322033898305,0.5036666000000001,0.1141981618631987,0.036112629609228585,0.331667,0.673333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.101694915254237,0.45249999999999996,0.10499920575890087,0.03320366427067952,0.328333,0.613333,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,6.610169491525424,0.47883329999999996,0.1111140767940268,0.03513735627759847,0.328333,0.591667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.11864406779661,0.4766665,0.12556534376813974,0.03970724814893511,0.328333,0.63,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,7.627118644067796,0.5189999999999999,0.11919272494204969,0.03769204913388381,0.328333,0.626667,10
0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,8.135593220338983,0.5973333000000001,0.02543693581760366,0.008043865387914493,0.563333,0.636667,10
