run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
457,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.983333
477,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.983333
467,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.983333
544,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.981667
517,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.981667
547,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.98
487,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.978333
590,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.978333
567,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.978333
587,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.978333
537,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.978333
597,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.978333
534,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.978333
437,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.978333
524,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
427,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.976667
514,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.976667
527,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
424,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.35593220338983,0.976667
417,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.976667
494,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.976667
521,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.976667
571,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.976667
434,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,21.864406779661017,0.975
557,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.975
480,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.975
577,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.975
497,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.975
564,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.975
464,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.975
468,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.389830508474574,0.975
510,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.973333
581,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.973333
511,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.93220338983051,0.973333
554,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.973333
451,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.973333
520,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.973333
484,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.973333
551,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.973333
454,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.881355932203387,0.973333
447,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.973333
414,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,20.847457627118644,0.973333
500,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.973333
501,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.973333
474,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.973333
507,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,25.423728813559322,0.973333
444,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.971667
478,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,23.89830508474576,0.971667
531,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.971667
441,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,22.3728813559322,0.971667
488,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.971667
530,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.971667
397,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,19.83050847457627,0.971667
