run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
187,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.009931091813749801,20,0.986667
1561,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0029612254379880344,20,0.986667
1677,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.010280447320933098,20,0.986667
72,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0008829699955494083,20,0.986667
707,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002827817979625341,20,0.986667
527,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.006335804992658254,20,0.986667
1572,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005517492376129123,20,0.986667
1917,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007342870447166758,20,0.986667
1787,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007778411071286482,20,0.985
376,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002462585916350547,20,0.985
387,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005981040962380938,20,0.985
1477,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00026026478819690045,20,0.985
652,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0008628512566366887,20,0.985
882,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01355601785329369,20,0.985
876,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0006036438506075864,20,0.985
327,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0018891927762076663,20,0.985
572,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.00408894822629486,20,0.985
1497,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.01726780903884356,20,0.985
631,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002119953457536071,20,0.985
397,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.008451366330684721,20,0.985
1962,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0004223044187206672,20,0.985
272,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.005777790117970501,20,0.985
377,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.002462585916350547,20,0.985
1056,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.0007514081061116962,20,0.985
1987,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0.009056428379445295,20,0.985
