ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy,test accuracy
,,,,,,,,,mean,std,sem,min,max,size
0.05,0.2202020202020202,0.13125313605607206,4.882927313062991e-05,0.0003720236681413066,9.765854626125982e-05,2.0,0,20,0.7804999999999999,0.02044347522098704,0.006464794498753313,0.743333,0.811667,10
0.05,0.2767676767676768,0.3895367570852214,0.00033226100575189146,0.0008529644499741026,0.0006645220115037829,2.0,0,20,0.8376669,0.01997217138058736,0.006315755138188567,0.811667,0.876667,10
0.05,0.2767676767676768,2.352861627951284,0.00023285838577847065,9.896815988334524e-05,0.0004657167715569413,2.0,0,20,0.8706665000000001,0.019613679405795725,0.0062023900218652435,0.838333,0.893333,10
0.05,0.35555555555555557,0.5412813555446334,0.00030176531079072183,0.0005575017644697696,0.0006035306215814437,2.0,0,20,0.8483333,0.019531664701481797,0.006176454695139518,0.823333,0.886667,10
0.05252525252525253,0.20404040404040405,0.6255872696103381,0.0001580120854194759,0.0002525820026962785,0.0003160241708389518,2.0,0,20,0.8503333000000002,0.02539554544512789,0.008030776602891877,0.815,0.89,10
0.05252525252525253,0.2545454545454546,0.10177004813469116,5.079467408853588e-06,4.991122144435844e-05,1.0158934817707176e-05,2.0,0,20,0.7723333,0.024013860197116727,0.007593849363574885,0.721667,0.795,10
0.05252525252525253,0.26666666666666666,0.10494335511707673,3.307146572953314e-05,0.00031513634848664794,6.614293145906628e-05,2.0,0,20,0.78,0.018823481529432595,0.0059525075127116805,0.748333,0.806667,10
0.05252525252525253,0.28080808080808084,1.1459804531273277,0.0003869953426801402,0.0003376980310825091,0.0007739906853602804,2.0,0,20,0.8576666,0.018711652805434253,0.005917144165145172,0.83,0.886667,10
0.05252525252525253,0.31313131313131315,0.4914882939481573,0.0002656109108739367,0.0005404216420705915,0.0005312218217478734,2.0,0,20,0.8448333000000001,0.018483512509200727,0.005844999868928824,0.818333,0.876667,10
0.05252525252525253,0.3191919191919192,2.2322171847769856,0.0002709071898518333,0.00012136237983442405,0.0005418143797036666,2.0,0,20,0.8686667,0.018539403484650423,0.0058626741472357835,0.838333,0.896667,10
0.05252525252525253,0.38181818181818183,4.179754073090701,0.003292661806459135,0.000787764483000884,0.00658532361291827,2.0,0,20,0.8441666,0.03636450922167559,0.011499467513469173,0.78,0.881667,10
0.05505050505050505,0.21414141414141416,1.1309990106717744,3.926474357568178e-05,3.4716868189265594e-05,7.852948715136357e-05,2.0,0,20,0.8524999,0.017431483155167522,0.0055123189765187664,0.821667,0.875,10
0.05505050505050505,0.22222222222222224,0.2852947637015239,0.00018647006233661278,0.0006536049239645289,0.00037294012467322556,2.0,0,20,0.8241664999999999,0.02760230912743833,0.008728616552275997,0.773333,0.858333,10
0.05505050505050505,0.22626262626262628,0.8654809859102784,0.0004581221126875312,0.0005293266058360561,0.0009162442253750624,2.0,0,20,0.8523333999999998,0.014190120892132469,0.00448731022922791,0.83,0.871667,10
0.05505050505050505,0.2767676767676768,3.4010730928635984,0.0001180746062670034,3.4716868189265594e-05,0.0002361492125340068,2.0,0,20,0.8793333999999999,0.0259890570527075,0.008218461452661838,0.846667,0.94,10
0.05505050505050505,0.2828282828282829,0.26248161893806043,5.2047058913316837e-05,0.00019828839491270713,0.00010409411782663367,2.0,0,20,0.8168335000000001,0.03067604023501074,0.009700615673760082,0.765,0.851667,10
0.05505050505050505,0.33131313131313134,0.5730440437713634,0.00037976009219693946,0.0006627066389131835,0.0007595201843938789,2.0,0,20,0.8508333,0.01620181174402691,0.005123462733238998,0.828333,0.883333,10
0.05505050505050505,0.3393939393939394,1.8163589703637553,0.0009287747324345102,0.0005113387538414326,0.0018575494648690205,2.0,0,20,0.8593334,0.023176778503972924,0.0073291408897784285,0.811667,0.881667,10
0.05505050505050505,0.397979797979798,6.340525491763758,0.0016181998622023517,0.0002552154177606206,0.0032363997244047034,2.0,0,20,0.8708335,0.035032976529264535,0.01107839990476964,0.831667,0.955,10
0.05505050505050505,0.4,1.571581285927595,0.0002695076411423192,0.00017148819698705408,0.0005390152822846384,2.0,0,20,0.866,0.017341931630203932,0.005484000297836129,0.846667,0.9,10
0.05757575757575758,0.2404040404040404,0.1318301310687039,1.2735021099676608e-05,9.660174799522646e-05,2.5470042199353216e-05,2.0,0,20,0.7881664999999999,0.024575993255614298,0.007771611444867785,0.748333,0.823333,10
0.05757575757575758,0.3111111111111111,0.1831847463649842,3.2744741008370234e-05,0.00017875255259042355,6.548948201674047e-05,2.0,0,20,0.7955,0.023701390803073114,0.007495037865147839,0.751667,0.826667,10
0.05757575757575758,0.33131313131313134,0.28780861572004274,1.3591830966403442e-05,4.722524005196735e-05,2.7183661932806883e-05,2.0,0,20,0.8164999,0.031967023325956107,0.010108860372575247,0.765,0.866667,10
0.05757575757575758,0.3414141414141414,1.0224623863561086,0.0008996877037062066,0.0008799225435691075,0.0017993754074124132,2.0,0,20,0.8515,0.019975988675295975,0.0063169622727665,0.821667,0.886667,10
0.060101010101010106,0.30505050505050507,0.46019114077228773,1.592125480055076e-05,3.45970475959878e-05,3.184250960110152e-05,2.0,0,20,0.8328334000000002,0.028513056573358713,0.009016620182504941,0.788333,0.878333,10
