ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.95,0.15,0.7956335241748049,0.0002516014119179024,0.000316227766016838,0.0005032028238358048,2.0,0.845
0.85,0.15,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.845
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.2,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.843333
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.2,1.0018260133369536,0.010018260133369537,0.01,0.020036520266739074,2.0,0.843333
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.15,0.6318788855185237,0.00019981764836073202,0.00031622776601683794,0.00039963529672146404,2.0,0.843333
0.95,0.15,1.2614543385908228,0.0006786420494941564,0.0005379838403443687,0.0013572840989883128,2.0,0.841667
0.95,0.15,1.2614543385908228,0.0006786420494941564,0.0005379838403443687,0.0013572840989883128,2.0,0.841667
0.95,0.15,1.2614543385908228,0.0006786420494941564,0.0005379838403443687,0.0013572840989883128,2.0,0.841667
0.95,0.15,1.2614543385908228,0.0006786420494941564,0.0005379838403443687,0.0013572840989883128,2.0,0.841667
