run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,l_pi,learning_lag,test accuracy
552,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.755
533,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.753333
583,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.745
543,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.741667
589,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.736667
563,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.736667
593,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.735
523,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.735
569,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.733333
572,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.731667
579,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.73
540,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.728333
577,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.725
567,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.725
559,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.723333
557,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.723333
570,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.723333
562,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.721667
573,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.721667
549,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.718333
599,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.718333
587,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.718333
530,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.715
553,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.713333
571,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.713333
598,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.713333
588,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.711667
578,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.983050847457626,0.708333
591,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.708333
521,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.708333
568,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.706667
581,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,29.491525423728813,0.706667
592,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.701667
560,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,28.47457627118644,0.701667
551,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.966101694915253,0.701667
481,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.406779661016948,0.7
597,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,30.0,0.7
527,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.698333
548,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.691667
15,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.5084745762711864,0.69
538,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.94915254237288,0.688333
491,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,24.915254237288135,0.686667
5,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,0.0,0.685
547,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,27.457627118644066,0.685
25,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.0169491525423728,0.681667
529,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,26.440677966101696,0.681667
35,0.28,0.34,6.1,0.000732,0.00012,0.001464,2.0,0,1.5254237288135593,0.68
