run_id,ga,gsom,l1,l2,l2_mul,ip1,ip1_mul,test accuracy
1807,0.7464646464646464,0.7545454545454545,1.8828145734845285,4.065761373252745e-05,2.1594061521035675e-05,8.13152274650549e-05,2.0,0.833333
2245,0.8434343434343434,0.6252525252525253,1.7044364155069103,2.64101577065517e-05,1.5494950393146317e-05,5.28203154131034e-05,2.0,0.831667
291,0.8434343434343434,0.16464646464646465,1.802585401177745,0.00027357539229348125,0.00015176833902834055,0.0005471507845869625,2.0,0.828333
853,0.8595959595959596,0.1,1.7473805250387666,0.0009820582329472746,0.0005620173848083187,0.001964116465894549,2.0,0.828333
4351,0.794949494949495,0.29393939393939394,1.8138339278903228,0.0001151861662732798,6.350425168595962e-05,0.0002303723325465596,2.0,0.828333
565,0.8919191919191919,0.4313131313131313,0.9616720860529991,3.661066274493213e-05,3.806979871402284e-05,7.322132548986426e-05,2.0,0.826667
2290,0.8434343434343434,0.6737373737373737,1.4142645455526315,2.211693024944284e-05,1.5638467583022477e-05,4.423386049888568e-05,2.0,0.826667
2065,0.8676767676767676,0.4232323232323232,1.0823276963974657,3.2873144935722056e-05,3.0372635797033114e-05,6.574628987144411e-05,2.0,0.826667
5100,0.7787878787878788,0.26161616161616164,1.5720236398195384,0.00022574400708650347,0.00014360089846512608,0.00045148801417300695,2.0,0.826667
3126,0.8676767676767676,0.43939393939393945,1.4957041518373466,3.937913022991321e-05,2.63281546564802e-05,7.875826045982642e-05,2.0,0.825
641,0.8515151515151514,0.7626262626262627,2.054144327977098,2.5160486988763334e-05,1.2248646137509308e-05,5.032097397752667e-05,2.0,0.825
5382,0.9,0.4636363636363636,0.5597338534102974,6.295534749199275e-05,0.00011247371783647519,0.0001259106949839855,2.0,0.825
1420,0.9,0.24545454545454545,0.7451753349736652,0.0001298672704766988,0.00017427746784089192,0.0002597345409533976,2.0,0.823333
860,0.8838383838383839,0.44747474747474747,2.0287456952440737,0.00015139114867517115,7.462302891391108e-05,0.0003027822973503423,2.0,0.823333
1239,0.8353535353535353,0.38282828282828285,1.9422982084641336,8.071133451977207e-05,4.15545533471888e-05,0.00016142266903954413,2.0,0.823333
939,0.8676767676767676,0.8434343434343434,1.5050376725099672,1.809786944437477e-05,1.2024861420374123e-05,3.619573888874954e-05,2.0,0.821667
3025,0.8757575757575757,0.5282828282828282,1.3709521460324918,2.0473706345159102e-05,1.4933932161242536e-05,4.0947412690318204e-05,2.0,0.821667
